State_Name,Place,Zip_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev,Samples,Population,City,County
Virginia,Middleburg,20117,2679708,9875,38.971328,-77.73966800000001,1140,1212,488,166,2693,Middleburg,Loudoun
Virginia,Chincoteague,20112,31926548,590266,38.672155100000005,-77.4659808,2030,1365,1566,50,25833,Manassas,Manassas Park City
Virginia,Yorkshire,20111,6222055,69599,38.788994,-77.449867,1370,1310,328,996,30590,Manassas,Manassas Park City
Virginia,Chincoteague,20110,9913971,91060,38.739145799999996,-77.4918386,1417,1263,632,325,43876,Manassas,Manassas City
Virginia,Chincoteague,20109,4735612,55681,38.789052399999996,-77.541495,1381,1436,485,934,37265,Manassas,Manassas City
Virginia,Chincoteague,20105,94643229,691527,38.9857195,-77.6799069,1093,1109,427,239,11315,Aldie,Loudoun
District of Columbia,Washington city,20037,457261,7186,38.9002,-77.0538118,1988,2051,373,486,14642,Washington,District Of Columbia
District of Columbia,Washington city,20032,467504,0,38.8266511,-76.9984594,869,856,375,1592,35653,Washington,District Of Columbia
District of Columbia,Washington city,20024,749889,0,38.8818529,-77.0133789,1203,1125,687,796,11510,Washington,District Of Columbia
District of Columbia,Washington city,20020,615798,0,38.8566328,-76.969545,867,850,536,1427,49864,Washington,District Of Columbia
District of Columbia,Washington city,20019,1298021,65712,38.9034201,-76.9515658,764,813,387,1413,54358,Washington,District Of Columbia
District of Columbia,Washington city,20018,398354,0,38.9251412,-76.9908482,1241,1131,559,143,16894,Washington,District Of Columbia
District of Columbia,Washington city,20017,644068,0,38.949207,-76.9949877,1467,1264,794,113,17735,Washington,District Of Columbia
District of Columbia,Washington city,20016,2931409,144814,38.9237666,-77.09173390000001,2705,2372,877,687,32519,Washington,District Of Columbia
District of Columbia,Washington city,20015,788162,0,38.9653037,-77.07060809999999,1651,1649,544,684,15332,Washington,District Of Columbia
District of Columbia,Washington city,20012,1084530,61,38.9756846,-77.0301328,1391,1191,779,581,13414,Washington,District Of Columbia
District of Columbia,Washington city,20011,1136289,31934,38.967226700000005,-77.0419399,1211,1168,386,965,58536,Washington,District Of Columbia
District of Columbia,Washington city,20010,452924,0,38.934450299999995,-77.0416857,1175,1201,406,1163,30138,Washington,District Of Columbia
District of Columbia,Washington city,20009,204529,0,38.9162076,-77.03884559999999,1906,1824,586,1269,47992,Washington,District Of Columbia
District of Columbia,Washington city,20008,1592787,15561,38.942043,-77.0556067,2136,2161,689,854,27525,Washington,District Of Columbia
District of Columbia,Washington city,20007,1907610,512798,38.9060174,-77.0601874,2348,1997,952,1060,26866,Washington,District Of Columbia
District of Columbia,Washington city,20005,233824,0,38.9072785,-77.0293181,1100,769,891,925,12775,Washington,District Of Columbia
District of Columbia,Washington city,20003,1368066,312407,38.875686200000004,-77.0013043,2036,2172,881,1696,26454,Washington,District Of Columbia
District of Columbia,Washington city,20002,219938,0,38.901554299999994,-76.9911234,1958,1677,750,206,52370,Washington,District Of Columbia
District of Columbia,Washington city,20001,326358,0,38.9008608,-77.0136118,1953,2114,991,1042,38551,Washington,District Of Columbia
Delaware,Camden,19977,95228497,7441873,39.374471899999996,-75.57577320000001,974,1086,287,38,22984,Smyrna,Kent
Delaware,Camden,19973,14452936,456783,38.67230120000001,-75.6073248,1073,1067,878,523,23838,Seaford,Sussex
Delaware,Camden,19971,1883777,50299,38.7095848,-75.0826663,1228,1164,258,34,12385,Rehoboth Beach,Sussex
Delaware,Camden,19970,11823200,2883016,38.4787843,-75.1013032,1472,1513,356,40,6170,Ocean View,Sussex
Delaware,Camden,19968,0,534631228,38.864806,-75.2250098,0,0,0,0,9549,Milton,Sussex
